"","t4less","t4lessmoeagg"
"1",203,79.0253124005214
"2",106,68.9637585982667
"3",37,41.0365690573664
"4",136,96.8762096698668
"5",125,103.077640640442
"6",121,92.3471710449216
"7",63,46.0651712251241
"8",313,162.200493217499
"9",222,88.8144132446981
"10",186,110.909873320638
"11",437,185.310550158376
"12",254,129.849913361542
"13",98,49.5782210249622
"14",521,246.221445044903
"15",488,178.664490036493
"16",267,131.521861300698
"17",601,257.489805623446
"18",451,153.681488800701
"19",19,16.1245154965971
"20",89,46.4004310324807
"21",205,73.24616030892
"22",52,51.4198405287298
"23",52,32.5576411921994
"24",56,40.853396431631
"25",93,45.6070170039655
"26",65,36.8781778291715
"27",50,25.298221281347
"28",94,57.4282160614449
"29",50,33.4215499341368
"30",53,48.5077313425396
"31",129,72.2011080247388
"32",73,47.3814309619285
"33",0,16.9705627484771
"34",104,60.2079728939615
"35",197,97.0978887515068
"36",133,82.7345151674922
"37",149,83.7376856618333
"38",180,88.4816365128946
"39",180,99.6393496566492
"40",367,268.287159588378
"41",49,34.9857113690718
"42",101,32.8024389337135
"43",166,71.5541752799933
"44",184,92.097774131626
"45",397,122.641754716736
"46",239,92.655275079188
"47",249,125.099960031968
"48",100,38.2883794381533
"49",285,144.059015684545
"50",503,193.76790239872
"51",195,110.462663375459
"52",254,120.966937631735
"53",173,71.7007670809734
"54",379,168.908259123111
"55",198,75.0066663703967
"56",474,175.547714311523
"57",26,30.4630924234556
"58",18,15.6204993518133
"59",31,32.0156211871642
"60",31,25.9422435421457
"61",155,78.7718223732319
"62",215,81.8596359630313
"63",104,59.8163857149527
"64",190,142.70599146497
"65",90,60.3075451332584
"66",125,61.2209114600559
"67",52,39.9624824053762
"68",237,91.0823802938856
"69",108,62.6498204307083
"70",37,21.095023109729
"71",56,48.1663783151692
"72",66,54.0370243444252
"73",45,49.4772675074119
"74",79,65.7951365983839
"75",89,60.7453701939498
"76",103,48.0104155366312
"77",363,164.012194668567
"78",197,95.3834367172834
"79",173,76.2167960491649
"80",36,33.9705755029261
"81",139,101.355808910984
"82",20,17.4928556845359
"83",59,48.7544869729956
"84",86,41.2310562561766
"85",34,34.0587727318528
"86",161,86.5852181379709
"87",23,21.9317121994613
"88",35,23.0217288664427
"89",95,55.1724568965349
"90",65,33.6005952328229
"91",66,43.139309220246
"92",64,105.683489722851
"93",257,93.6482781475452
"94",102,48.1040538832228
"95",0,16.9705627484771
"96",63,57.5586657246326
"97",23,25.5538646783613
"98",81,48.7647413609464
"99",239,79.5110055275369
"100",168,47.5078940808788
"101",269,78.4920378127616
"102",126,58.0517010948
"103",149,48.6004115208915
"104",169,90.1387818865997
"105",50,30.2324329156619
"106",92,57.4282160614449
"107",118,61.8465843842649
"108",105,48.3735464897913
"109",44,51.0392006206994
"110",55,46.690470119715
"111",298,100.004999875006
"112",137,62.6817357768593
"113",312,169.008875506584
"114",164,58.6003412959344
"115",89,45.6946386351835
"116",263,106.850362657316
"117",87,15.6204993518133
"118",35,30.4138126514911
"119",88,54.6717477313466
"120",52,24.7588368062799
"121",0,16.9705627484771
"122",38,41.1096095821889
"123",49,34.7131099154196
"124",32,26.8700576850888
"125",64,54.6260011349907
"126",53,48.8466989672793
"127",90,57.8705451849211
"128",149,89.196412483911
"129",96,39.3954312071844
"130",67,58.6941223633168
"131",36,26.8700576850888
"132",42,28.6356421265527
"133",20,22.4722050542442
"134",55,37.9473319220206
"135",236,101.788997440784
"136",73,44.2944691807002
"137",132,57.6281181368956
"138",129,58.7962583843564
"139",86,67.0671305484289
"140",129,70.2139587261678
"141",66,26.1725046566048
"142",160,73.9256383131049
"143",24,20.2484567313166
"144",74,33.9705755029261
"145",295,179.28747864812
"146",93,55.8032257132148
"147",23,16.4012194668567
"148",45,24.2074368738204
"149",12,15.6204993518133
"150",163,49.7393204617835
"151",118,67.0820393249937
"152",69,45.8802789878178
"153",78,41.2310562561766
"154",87,36.8781778291715
"155",131,90.2551937563706
"156",111,39.6988664825584
"157",82,50.4479930225178
"158",192,97.0618359603815
"159",118,53.4134814442946
"160",88,58.6003412959344
"161",252,76.0065786626395
"162",72,50.7740090991444
"163",50,34.4818792991333
"164",10,21.6333076527839
"165",27,25.298221281347
"166",181,97.9897953870708
"167",272,119.970829787911
"168",65,51.0783711564885
"169",281,128.015624046442
"170",32,34.828149534536
"171",93,48.7544869729956
"172",223,103.711137299713
"173",86,44.5982062419555
"174",0,16.9705627484771
"175",23322,38.0525951808809
"176",19853515,5084.48237286747
"177",0,16.9705627484771
"178",0,16.9705627484771
"179",0,16.9705627484771
