"","GEOID","County","Geography","response2000","response2010"
"1","22035 ","East Carroll Parish, LA ","County ",0.58,0.68
"2","22107 ","Tensas Parish, LA ","County ",0.51,0.44
"3","22023 ","Cameron Parish, LA ","County ",0.53,0.46
"4","22081 ","Red River Parish, LA ","County ",0.6,0.46
"5","22025 ","Catahoula Parish, LA ","County ",0.5,0.58
"6","22065 ","Madison Parish, LA ","County ",0.59,0.52
"7","22091 ","St. Helena Parish, LA ","County ",0.47,0.49
"8","22125 ","West Feliciana Parish, LA ","County ",0.52,0.52
"9","22123 ","West Carroll Parish, LA ","County ",0.65,0.66
"10","22021 ","Caldwell Parish, LA ","County ",0.55,0.49
"11","22059 ","La Salle Parish, LA ","County ",0.61,0.58
"12","22027 ","Claiborne Parish, LA ","County ",0.59,0.72
"13","22127 ","Winn Parish, LA ","County ",0.58,0.54
"14","22013 ","Bienville Parish, LA ","County ",0.55,0.56
"15","22049 ","Jackson Parish, LA ","County ",0.65,0.58
"16","22037 ","East Feliciana Parish, LA ","County ",0.55,0.6
"17","22083 ","Richland Parish, LA ","County ",0.64,0.68
"18","22043 ","Grant Parish, LA ","County ",0.59,0.62
"19","22093 ","St. James Parish, LA ","County ",0.65,0.57
"20","22121 ","West Baton Rouge Parish, LA ","County ",0.68,0.67
"21","22041 ","Franklin Parish, LA ","County ",0.68,0.64
"22","22075 ","Plaquemines Parish, LA ","County ",0.57,0.57
"23","22029 ","Concordia Parish, LA ","County ",0.59,0.53
"24","22003 ","Allen Parish, LA ","County ",0.58,0.54
"25","22007 ","Assumption Parish, LA ","County ",0.64,0.58
"26","22077 ","Pointe Coupee Parish, LA ","County ",0.57,0.54
"27","22111 ","Union Parish, LA ","County ",0.56,0.64
"28","22031 ","De Soto Parish, LA ","County ",0.64,0.59
"29","22047 ","Iberville Parish, LA ","County ",0.65,0.64
"30","22067 ","Morehouse Parish, LA ","County ",0.7,0.68
"31","22053 ","Jefferson Davis Parish, LA ","County ",0.73,0.69
"32","22085 ","Sabine Parish, LA ","County ",0.47,0.49
"33","22039 ","Evangeline Parish, LA ","County ",0.64,0.67
"34","22011 ","Beauregard Parish, LA ","County ",0.63,0.71
"35","22095 ","St. John the Baptist Parish, LA ","County ",0.66,0.67
"36","22069 ","Natchitoches Parish, LA ","County ",0.62,0.57
"37","22009 ","Avoyelles Parish, LA ","County ",0.62,0.56
"38","22087 ","St. Bernard Parish, LA ","County ",0.71,0.46
"39","22119 ","Webster Parish, LA ","County ",0.7,0.66
"40","22089 ","St. Charles Parish, LA ","County ",0.7,0.69
"41","22061 ","Lincoln Parish, LA ","County ",0.67,0.63
"42","22117 ","Washington Parish, LA ","County ",0.63,0.69
"43","22115 ","Vernon Parish, LA ","County ",0.55,0.61
"44","22099 ","St. Martin Parish, LA ","County ",0.62,0.71
"45","22101 ","St. Mary Parish, LA ","County ",0.62,0.62
"46","22113 ","Vermilion Parish, LA ","County ",0.71,0.73
"47","22001 ","Acadia Parish, LA ","County ",0.73,0.71
"48","22045 ","Iberia Parish, LA ","County ",0.69,0.7
"49","22097 ","St. Landry Parish, LA ","County ",0.56,0.64
"50","22057 ","Lafourche Parish, LA ","County ",0.7,0.72
"51","22005 ","Ascension Parish, LA ","County ",0.72,0.72
"52","22109 ","Terrebonne Parish, LA ","County ",0.72,0.71
"53","22015 ","Bossier Parish, LA ","County ",0.75,0.73
"54","22063 ","Livingston Parish, LA ","County ",0.67,0.67
"55","22105 ","Tangipahoa Parish, LA ","County ",0.58,0.61
"56","22079 ","Rapides Parish, LA ","County ",0.69,0.7
"57","22073 ","Ouachita Parish, LA ","County ",0.69,0.74
"58","22019 ","Calcasieu Parish, LA ","County ",0.71,0.69
"59","22055 ","Lafayette Parish, LA ","County ",0.73,0.71
"60","22103 ","St. Tammany Parish, LA ","County ",0.72,0.72
"61","22017 ","Caddo Parish, LA ","County ",0.74,0.72
"62","22033 ","East Baton Rouge Parish, LA ","County ",0.72,0.7
"63","22051 ","Jefferson Parish, LA ","County ",0.74,0.72
"64","22071 ","Orleans Parish, LA ","County ",0.61,0.45
