"","GEOID","County","Geography","response2000","response2010","FIPS_5","Metro"
"1","22023 ","Cameron Parish, LA ","County ",0.53,0.46,22023,"Lake Charles, LA"
"2","22091 ","St. Helena Parish, LA ","County ",0.47,0.49,22091,"Baton Rouge, LA"
"3","22125 ","West Feliciana Parish, LA ","County ",0.52,0.52,22125,"Baton Rouge, LA"
"4","22037 ","East Feliciana Parish, LA ","County ",0.55,0.6,22037,"Baton Rouge, LA"
"5","22043 ","Grant Parish, LA ","County ",0.59,0.62,22043,"Alexandria, LA"
"6","22093 ","St. James Parish, LA ","County ",0.65,0.57,22093,"New Orleans-Metairie, LA"
"7","22121 ","West Baton Rouge Parish, LA ","County ",0.68,0.67,22121,"Baton Rouge, LA"
"8","22075 ","Plaquemines Parish, LA ","County ",0.57,0.57,22075,"New Orleans-Metairie, LA"
"9","22077 ","Pointe Coupee Parish, LA ","County ",0.57,0.54,22077,"Baton Rouge, LA"
"10","22111 ","Union Parish, LA ","County ",0.56,0.64,22111,"Monroe, LA"
"11","22031 ","De Soto Parish, LA ","County ",0.64,0.59,22031,"Shreveport-Bossier City, LA"
"12","22047 ","Iberville Parish, LA ","County ",0.65,0.64,22047,"Baton Rouge, LA"
"13","22095 ","St. John the Baptist Parish, LA ","County ",0.66,0.67,22095,"New Orleans-Metairie, LA"
"14","22087 ","St. Bernard Parish, LA ","County ",0.71,0.46,22087,"New Orleans-Metairie, LA"
"15","22119 ","Webster Parish, LA ","County ",0.7,0.66,22119,"Shreveport-Bossier City, LA"
"16","22089 ","St. Charles Parish, LA ","County ",0.7,0.69,22089,"New Orleans-Metairie, LA"
"17","22099 ","St. Martin Parish, LA ","County ",0.62,0.71,22099,"Lafayette, LA"
"18","22113 ","Vermilion Parish, LA ","County ",0.71,0.73,22113,"Lafayette, LA"
"19","22001 ","Acadia Parish, LA ","County ",0.73,0.71,22001,"Lafayette, LA"
"20","22045 ","Iberia Parish, LA ","County ",0.69,0.7,22045,"Lafayette, LA"
"21","22057 ","Lafourche Parish, LA ","County ",0.7,0.72,22057,"Houma-Thibodaux, LA"
"22","22005 ","Ascension Parish, LA ","County ",0.72,0.72,22005,"Baton Rouge, LA"
"23","22109 ","Terrebonne Parish, LA ","County ",0.72,0.71,22109,"Houma-Thibodaux, LA"
"24","22015 ","Bossier Parish, LA ","County ",0.75,0.73,22015,"Shreveport-Bossier City, LA"
"25","22063 ","Livingston Parish, LA ","County ",0.67,0.67,22063,"Baton Rouge, LA"
"26","22105 ","Tangipahoa Parish, LA ","County ",0.58,0.61,22105,"Hammond, LA"
"27","22079 ","Rapides Parish, LA ","County ",0.69,0.7,22079,"Alexandria, LA"
"28","22073 ","Ouachita Parish, LA ","County ",0.69,0.74,22073,"Monroe, LA"
"29","22019 ","Calcasieu Parish, LA ","County ",0.71,0.69,22019,"Lake Charles, LA"
"30","22055 ","Lafayette Parish, LA ","County ",0.73,0.71,22055,"Lafayette, LA"
"31","22103 ","St. Tammany Parish, LA ","County ",0.72,0.72,22103,"New Orleans-Metairie, LA"
"32","22017 ","Caddo Parish, LA ","County ",0.74,0.72,22017,"Shreveport-Bossier City, LA"
"33","22033 ","East Baton Rouge Parish, LA ","County ",0.72,0.7,22033,"Baton Rouge, LA"
"34","22051 ","Jefferson Parish, LA ","County ",0.74,0.72,22051,"New Orleans-Metairie, LA"
"35","22071 ","Orleans Parish, LA ","County ",0.61,0.45,22071,"New Orleans-Metairie, LA"
